campaign_id,channel,objective,target_audience,launch_date,impressions,conversions,open_rate,click_through_rate,conversion_rate,pipeline_value_generated,AI_score,success_flag
d856ca23-a6e7-4ae6-b0b7-479433361273,Account-Based Marketing (ABM),Product Launch,Healthcare,11/11/2022,19065,16964,15.55,1.33,88.98,50000,225.6,0
cabe9725-0225-4b06-9225-c1be87021a4e,Account-Based Marketing (ABM),Promote New Product,Manufacturing,12/27/2022,7039,6197,39.09,2.21,88.04,60000,137.0,1
b26a281e-bfb3-4c1a-9454-48325c4bc53f,Account-Based Marketing (ABM),Event Promotion,Retail,1/10/2023,6716,5411,33.25,3.7,80.57,300000,200.2,1
208743bf-3dcd-44e1-98c8-a799c39fc75e,Account-Based Marketing (ABM),Promote New Product,Manufacturing,6/16/2023,4527,3969,38.18,6.64,87.67,600000,263.5,1
2f6a9040-e2a3-41d7-897d-4fecb0fd3ff3,Account-Based Marketing (ABM),Brand Awareness,Manufacturing,8/26/2023,4292,3540,36.84,6.96,82.48,420000,246.4,1
19dfe747-9024-4c59-aa6a-63581a4b9085,Account-Based Marketing (ABM),Event Promotion,Enterprise,11/11/2023,1269,1123,27.94,0.55,88.49,700000,6.2,0
0d61e8cc-732f-4b88-a051-a8b35d2d1aa0,Account-Based Marketing (ABM),Increase Sales,Retail,2/25/2024,19094,16455,37.66,4.33,86.18,62000,712.5,1
58b43b0b-7bc2-4abe-8984-435b9402e1ba,Channel Partner Marketing,Product Launch,Retail,3/13/2022,5148,4482,12.65,3.63,87.06,100000,162.7,1
f9e56b93-420c-4491-8bdc-1c13d2ff5acd,Channel Partner Marketing,Event Promotion,Retail,7/31/2022,17661,14454,15.88,2.17,81.84,400000,313.6,1
d5910bfa-ebcb-4211-a794-d181386df55d,Channel Partner Marketing,Event Promotion,Manufacturing,12/4/2022,1410,1260,11.36,1.4,89.36,1200000,17.6,0
9228a0fa-4e17-4c8b-ad6f-29dd55b1bc19,Channel Partner Marketing,Market Expansion,Healthcare,1/15/2023,9163,7960,19.76,3.03,86.87,3000000,241.2,1
1ff66224-13da-4d91-b46c-b0f46f7b986a,Channel Partner Marketing,Product Launch,Retail,2/28/2024,4716,3957,21.66,7.57,83.91,400000,299.6,1
f574eb74-3ce0-421f-bc11-086ddc2c23d6,Channel Partner Marketing,Seasonal Promotion,Education,5/20/2024,19051,16028,18.14,2.92,84.13,550000,468.0,1
6b50db80-d60d-447d-8783-f7d5c84e4041,Channel Partner Marketing,Upsell/Cross-sell,Manufacturing,12/25/2024,13675,11019,34.86,4.39,80.58,480000,483.7,1
e5ef5ca1-3cef-4b97-9491-b4053adeee64,Channel Partner Marketing,Promote New Product,Enterprise,4/5/2025,6621,5900,20.7,5.77,89.11,1200000,340.4,1
ac8eddaf-cdc4-46fe-8bce-24413666a340,Direct Sales Enablement (custom decks/videos),Lead Generation,Healthcare,7/14/2022,15348,13688,18.43,3.23,89.18,100000,442.1,1
d6b9cae3-ec7e-4d63-a551-4112fe6952c2,Direct Sales Enablement (custom decks/videos),Promote New Product,Education,7/27/2022,5750,5079,26.28,7.79,88.33,100000,395.7,1
9c3244de-c3d5-4fc8-bb49-a4acff4308c3,Direct Sales Enablement (custom decks/videos),Lead Generation,Education,8/27/2022,5817,4818,14.23,7.72,82.83,700000,372.0,1
3e790c60-d343-4985-8686-e677c4867310,Direct Sales Enablement (custom decks/videos),Increase Sales,Enterprise,9/26/2022,1502,1350,34.07,2.39,89.88,400000,32.3,1
c2d1b80a-bf83-4e16-bbb9-795005ca8363,Direct Sales Enablement (custom decks/videos),Brand Awareness,Healthcare,7/8/2024,1116,969,12.24,4.23,86.83,300000,41.0,1
fa941a1d-2f35-4598-9840-375893e901db,Direct Sales Enablement (custom decks/videos),Lead Generation,Manufacturing,7/9/2024,11473,10201,39.61,2.76,88.91,600000,281.5,1
3f26532d-ece9-4a70-b3bd-d83778ab41e5,Direct Sales Enablement (custom decks/videos),Lead Generation,SMB,10/11/2024,5802,4723,33.17,2.64,81.4,250000,124.7,1
6d1f03ee-8d5f-4764-944a-f675fe64bd8b,Email Outreach (Targeted to Procurement/Engineering),Re-engagement,Healthcare,5/29/2022,14202,11798,15.96,0.78,83.07,100000,92.0,0
